,epoch,train loss,train accuracy,validate loss,validate accuracy
0,1,0.21524526351598153,93.63833333333334,0.012769717008132599,97.73
1,2,0.06761813392914308,97.94833333333334,0.0079028340405164,98.53
2,3,0.048327901940132534,98.49833333333333,0.007263769724805068,98.65
3,4,0.039297635125533456,98.74166666666666,0.006373911397787606,98.76
4,5,0.03261466915345019,98.98666666666666,0.005323634536306927,99.06
5,6,0.027580158885638875,99.165,0.0056101145881970885,98.89
6,7,0.02346282654312446,99.27666666666667,0.004259614552370149,99.16
7,8,0.02124468520670333,99.32833333333333,0.004785706242778758,99.08
8,9,0.018251606070073888,99.445,0.004439317104077143,99.18
9,10,0.016026139500236184,99.515,0.004662789726138114,99.06
10,11,0.01404256429451556,99.57166666666667,0.004512220061564452,99.28
11,12,0.012641528373514526,99.62166666666667,0.0046092881596451725,99.29
12,13,0.011413314280161043,99.66333333333333,0.004609318712208333,99.14
13,14,0.010261844095086672,99.71333333333334,0.004529928071797413,99.18
14,15,0.008873593763276157,99.77166666666666,0.004864762046291308,99.14
15,16,0.008323358865955732,99.795,0.004590217039103052,99.15
16,17,0.007545187318104822,99.81,0.004388313918306475,99.23
17,18,0.006689772773598209,99.86666666666666,0.0052549827693043035,99.12
18,19,0.006372520990045546,99.86,0.004400684213262338,99.26
19,20,0.005883067690757171,99.87666666666667,0.004483340868426182,99.23
20,21,0.005447341552725174,99.90166666666667,0.004893280154173176,99.19
21,22,0.005030364823797465,99.91333333333333,0.004560771890885732,99.23
22,23,0.004680523787062481,99.92,0.004890519945352918,99.17
23,24,0.004428081241340458,99.92666666666666,0.0048579208616819185,99.21
24,25,0.004223125065461971,99.94333333333333,0.004864060287886748,99.17
25,26,0.003967554208528547,99.93666666666667,0.00479470915091893,99.21
26,27,0.0037740004783063923,99.94833333333334,0.004604136191996034,99.25
27,28,0.0036157969818066465,99.95166666666667,0.00467074720352353,99.27
28,29,0.0034881459391038396,99.95166666666667,0.004711321553881348,99.22
29,30,0.003298896544734324,99.95833333333333,0.004904790987698711,99.22
