,epoch,train loss,train accuracy,validate loss,validate accuracy
0,1,0.21147728043753328,93.89166666666667,0.010430249557304165,98.06
1,2,0.06367682113172189,98.05166666666666,0.007206872534523132,98.56
2,3,0.046204115090363505,98.57,0.005987743807861073,98.91
3,4,0.037184390518293066,98.86,0.005788798829971149,98.84
4,5,0.03126690575748365,99.01833333333333,0.004855213311157931,99.03
5,6,0.02725174006405793,99.12,0.00556323100602064,98.9
6,7,0.02369925352109128,99.24,0.005014555462221401,98.93
7,8,0.020675638411529182,99.30833333333334,0.004483551865497017,99.07
8,9,0.017798086761984466,99.45166666666667,0.005809524997514565,98.88
9,10,0.015400293344443889,99.54666666666667,0.004680641151334402,99.05
10,11,0.013869230037765218,99.59833333333333,0.004739484964206439,99.01
11,12,0.012068396113875102,99.63833333333334,0.004679247553265277,99.04
12,13,0.010616160336003051,99.70666666666666,0.0049453740290749705,99.09
13,14,0.009590482253634715,99.74,0.004942287918965681,99.03
14,15,0.008484944282470383,99.79666666666667,0.004728045289406459,99.14
15,16,0.0077489103549558454,99.82166666666667,0.0048860567684930805,99.08
16,17,0.007154084209679359,99.82333333333334,0.004701714602742892,99.13
17,18,0.006575447798756763,99.845,0.004775858459351587,99.2
18,19,0.005898958829432991,99.88,0.005173178661685313,99.07
19,20,0.0053830802497493516,99.9,0.005253266950796042,99.1
20,21,0.005039192793084366,99.90833333333333,0.004915097735049328,99.16
21,22,0.004794524392039989,99.91833333333334,0.004967493709529648,99.18
22,23,0.004390033379731011,99.93166666666667,0.004914437679889509,99.15
23,24,0.00416434547792933,99.93166666666667,0.005074249295962778,99.12
24,25,0.0038536538304470014,99.95166666666667,0.005094424759804625,99.15
25,26,0.0036516603524611277,99.95166666666667,0.00502248177586496,99.2
26,27,0.0034446317375885533,99.955,0.005158182813110357,99.05
27,28,0.003315693792607094,99.965,0.005161994590455786,99.11
28,29,0.0031642756101651734,99.96666666666667,0.005081142571079344,99.23
29,30,0.003045531872534477,99.96,0.005146216815285625,99.12
